Timestamp,Open,High,Low,Close,Volume
1744279380000,"82015.20000000","82035.87000000","82002.20000000","82002.20000000","13.17306000"
1744279440000,"82002.19000000","82073.15000000","82002.19000000","82051.99000000","5.55028000"
1744279500000,"82052.00000000","82060.85000000","81951.08000000","81969.99000000","25.28212000"
1744279560000,"81970.00000000","82043.48000000","81962.59000000","82043.48000000","8.44702000"
1744279620000,"82043.48000000","82043.48000000","81994.49000000","82025.98000000","8.49213000"
1744279680000,"82025.98000000","82055.67000000","82012.00000000","82039.15000000","6.21828000"
1744279740000,"82039.15000000","82067.99000000","82016.75000000","82029.80000000","20.27042000"
1744279800000,"82029.80000000","82078.12000000","82029.77000000","82072.99000000","26.15244000"
1744279860000,"82073.00000000","82115.99000000","82070.89000000","82086.53000000","35.90043000"
1744279920000,"82086.54000000","82130.43000000","82073.07000000","82114.01000000","12.00783000"
1744279980000,"82114.01000000","82114.01000000","82055.16000000","82056.02000000","14.65096000"
1744280040000,"82056.01000000","82114.35000000","82037.99000000","82071.77000000","13.25692000"
1744280100000,"82071.76000000","82100.00000000","82037.00000000","82085.59000000","15.85269000"
1744280160000,"82085.59000000","82085.60000000","82020.01000000","82076.10000000","11.55718000"
1744280220000,"82076.11000000","82076.11000000","81984.64000000","81989.92000000","14.68431000"
1744280280000,"81989.93000000","82003.30000000","81950.00000000","81954.07000000","25.18610000"
1744280340000,"81954.07000000","81959.08000000","81866.22000000","81925.71000000","32.07350000"
1744280400000,"81925.71000000","81925.71000000","81773.47000000","81782.61000000","35.02840000"
1744280460000,"81782.61000000","81823.99000000","81779.15000000","81789.54000000","14.09462000"
1744280520000,"81789.53000000","81789.53000000","81728.07000000","81737.10000000","36.27133000"
1744280580000,"81737.09000000","81743.91000000","81722.98000000","81741.34000000","3.81452000"
1744280640000,"81741.33000000","81829.72000000","81741.33000000","81818.29000000","8.69315000"
1744280700000,"81818.28000000","81818.29000000","81744.39000000","81744.39000000","8.02103000"
1744280760000,"81744.39000000","81770.08000000","81727.40000000","81760.75000000","12.07066000"
1744280820000,"81760.76000000","81776.00000000","81750.11000000","81770.50000000","4.96430000"
1744280880000,"81770.50000000","81777.80000000","81722.08000000","81740.88000000","7.95489000"
1744280940000,"81740.88000000","81753.22000000","81729.79000000","81729.79000000","3.71105000"
1744281000000,"81729.13000000","81848.03000000","81720.00000000","81836.15000000","13.73290000"
1744281060000,"81836.00000000","81867.22000000","81780.68000000","81808.36000000","11.46801000"
1744281120000,"81808.36000000","81823.00000000","81759.11000000","81770.50000000","8.97232000"
1744281180000,"81770.49000000","81775.66000000","81727.57000000","81739.13000000","14.45483000"
1744281240000,"81739.13000000","81770.56000000","81702.79000000","81770.56000000","7.38731000"
1744281300000,"81771.32000000","81793.57000000","81710.46000000","81733.55000000","7.68720000"
1744281360000,"81733.54000000","81733.55000000","81686.14000000","81708.02000000","10.49668000"
1744281420000,"81708.02000000","81726.93000000","81700.00000000","81726.20000000","7.41082000"
1744281480000,"81726.21000000","81826.21000000","81706.55000000","81818.30000000","10.01788000"
1744281540000,"81818.31000000","81826.09000000","81737.40000000","81746.00000000","25.72162000"
1744281600000,"81746.01000000","81765.35000000","81721.69000000","81759.97000000","27.26402000"
1744281660000,"81759.97000000","81759.97000000","81687.09000000","81687.09000000","35.45926000"
1744281720000,"81687.10000000","81691.20000000","81639.16000000","81670.19000000","45.87753000"
1744281780000,"81670.19000000","81670.20000000","81615.30000000","81630.00000000","23.40582000"
1744281840000,"81629.99000000","81630.00000000","81604.57000000","81606.18000000","21.32037000"
1744281900000,"81606.19000000","81639.85000000","81596.38000000","81611.66000000","27.82141000"
1744281960000,"81611.66000000","81614.80000000","81565.43000000","81575.19000000","29.24947000"
1744282020000,"81575.20000000","81648.35000000","81575.19000000","81648.35000000","8.61873000"
1744282080000,"81648.35000000","81712.40000000","81648.35000000","81712.40000000","14.58179000"
1744282140000,"81712.40000000","81712.40000000","81656.30000000","81681.26000000","8.53756000"
1744282200000,"81681.26000000","81711.06000000","81665.60000000","81709.55000000","12.96616000"
1744282260000,"81709.55000000","81709.56000000","81657.44000000","81668.00000000","8.54184000"
1744282320000,"81668.00000000","81732.56000000","81668.00000000","81732.56000000","4.20813000"
